id;nombre;identificacion;foto
1;Card;transform;generating enterprise Surinam
2;Entrada virtual;medición Seguro Mejorado;Joyería
3;Fantástico Central Usabilidad;initiatives transmitter synthesize;digital
4;Queso;driver;Ringgit payment Rojo
5;Blanco Central indexing;navigate tangible;Rústico Cambridgeshire red
6;invoice;Negro East;Loan facilitate Pelota
7;calculating online;Pollo;Cambridgeshire deposit payment
8;Coche Account;bandwidth;synergize focus
9;Investment Atún Técnico;Director;Cine Chalet payment
10;Mesa Ensalada Loan;Ingeniero Seguridada Madera;Arquitecto vertical
